url_length,num_dots,num_hyphen,contains_ip,has_https,domain_age,suspicious_words,redirect_count,entropy_score,label
33,1,2,0,0,13,4,2,4.2714,1
27,1,0,0,1,2250,1,0,3.8101,0
33,1,2,1,0,38,3,1,3.9573,1
24,1,0,0,1,1916,1,1,3.8554,0
35,1,2,0,0,38,3,1,4.0931,1
25,1,0,0,1,574,0,0,3.8937,0
35,1,2,0,0,10,2,5,4.0716,1
24,1,0,0,1,3860,1,1,3.8554,0
33,1,2,0,0,26,5,3,4.0667,1
24,1,0,0,1,6216,1,0,3.8554,0
31,1,2,0,0,35,2,4,3.9378,1
23,1,0,0,1,6123,1,0,3.6753,0
31,1,2,0,0,34,4,4,4.2202,1
24,1,0,0,1,7880,1,1,3.7091,0
35,1,2,0,0,26,2,2,4.0256,1
26,1,0,0,1,7184,1,1,3.921,0
34,1,2,0,0,31,2,5,4.2784,1
26,1,0,0,1,3289,1,1,4.1039,0
34,1,2,0,0,24,3,4,4.1163,1
27,1,0,0,1,7030,1,0,3.708,0
34,1,2,1,0,20,3,5,4.1973,1
23,1,0,0,1,5195,1,1,3.6212,0
36,1,2,1,0,8,2,1,4.4404,1
29,1,0,0,1,4846,0,0,4.0473,0
31,1,2,0,1,35,5,5,3.9779,1
24,1,0,0,1,2249,0,0,3.7721,0
35,1,2,0,1,6,4,3,3.99,1
27,1,0,0,1,5145,1,0,3.9303,0
30,1,2,0,1,42,3,2,3.8981,1
23,1,0,0,1,595,0,1,3.6212,0
32,1,2,0,0,26,5,1,4.0153,1
24,1,0,0,1,4479,0,0,3.8035,0
37,1,2,0,0,4,3,4,4.0777,1
27,1,0,0,1,3689,0,0,3.8101,0
33,1,2,1,0,2,3,5,4.1273,1
25,1,0,0,1,4259,0,0,3.8937,0
38,1,2,0,0,7,4,4,4.0933,1
27,1,0,0,1,4399,0,1,3.708,0
33,1,2,1,0,36,4,4,4.3697,1
29,1,0,0,1,7587,1,0,4.0473,0
35,1,2,1,1,7,3,3,4.1859,1
27,1,0,0,1,1056,0,0,3.8562,0
30,1,2,0,0,41,2,4,4.1232,1
27,1,0,0,1,5587,1,1,3.764,0
31,1,2,0,0,41,4,3,4.0424,1
27,1,0,0,1,1992,0,0,3.838,0
30,1,2,1,0,4,4,3,3.8981,1
27,1,0,0,1,6993,0,1,3.8562,0
31,1,2,0,0,14,2,4,4.0149,1
27,1,0,0,1,2177,0,1,3.8562,0
35,1,2,1,1,39,4,4,4.3217,1
26,1,0,0,1,4323,1,1,3.5843,0
38,1,2,0,0,2,4,4,4.0407,1
27,1,0,0,1,2543,0,0,3.8101,0
38,1,2,1,1,1,2,2,4.1235,1
27,1,0,0,1,4336,0,1,3.9303,0
30,1,2,0,0,31,4,5,4.1647,1
24,1,0,0,1,570,1,0,3.8554,0
38,1,2,0,0,15,2,4,4.1235,1
26,1,0,0,1,1945,1,0,3.921,0
34,1,2,0,0,13,5,2,4.0797,1
27,1,0,0,1,1733,1,0,3.838,0
34,1,2,0,0,12,3,5,4.1607,1
24,1,0,0,1,1927,0,1,3.7202,0
30,1,2,0,0,37,5,2,3.9647,1
23,1,0,0,1,2525,0,1,3.6753,0
34,1,2,0,1,9,2,4,4.2784,1
27,1,0,0,1,6227,1,1,3.708,0
32,1,2,0,0,8,3,3,4.4528,1
26,1,0,0,1,6662,0,1,3.921,0
37,1,2,0,0,31,2,3,4.2266,1
23,1,0,0,1,4148,0,1,3.6753,0
38,1,2,0,0,38,4,3,3.9579,1
26,1,0,0,1,3462,1,0,4.1039,0
36,1,2,0,0,10,3,1,4.4058,1
30,1,0,0,1,7650,1,1,3.6981,0
30,1,2,0,0,37,3,5,4.0566,1
24,1,0,0,1,5304,1,1,3.7091,0
36,1,2,0,0,30,2,1,4.2317,1
31,1,0,0,1,5247,1,0,3.9536,0
34,1,2,0,0,43,4,3,4.1973,1
27,1,0,0,1,6680,1,1,3.9303,0
34,1,2,0,1,44,4,5,4.3516,1
27,1,0,0,1,837,0,1,3.764,0
33,1,2,0,1,29,4,3,4.1124,1
27,1,0,0,1,1913,1,1,3.9303,0
34,1,2,0,1,17,3,4,4.2784,1
28,1,0,0,1,535,1,0,4.155,0
32,1,2,0,1,44,3,5,4.3042,1
28,1,0,0,1,6419,0,1,4.155,0
35,1,2,0,0,21,5,3,4.1427,1
24,1,0,0,1,5299,0,0,3.8554,0
33,1,2,0,1,17,2,5,4.2862,1
23,1,0,0,1,7069,0,0,3.6425,0
38,1,2,1,0,43,2,1,4.2211,1
26,1,0,0,1,1952,0,1,3.5843,0
35,1,2,1,1,2,4,2,3.7427,1
27,1,0,0,1,5787,1,1,3.8101,0
31,1,2,0,0,9,5,3,3.9134,1
31,1,0,0,1,2396,0,1,3.9536,0
29,1,2,0,0,43,5,5,3.9489,1
24,1,0,0,1,3236,0,1,3.7721,0
36,1,2,0,0,20,3,5,3.7954,1
30,1,0,0,1,6217,1,1,3.6981,0
31,1,2,0,1,11,5,5,3.9134,1
23,1,0,0,1,6877,1,0,3.6753,0
38,1,2,1,0,38,4,2,4.1658,1
29,1,0,0,1,5504,1,1,4.0473,0
31,1,2,0,0,21,5,4,3.797,1
29,1,0,0,1,925,0,0,4.0473,0
36,1,2,0,0,9,4,4,3.8611,1
24,1,0,0,1,7613,0,0,3.8554,0
31,1,2,0,0,24,5,2,3.8858,1
28,1,0,0,1,2892,1,1,4.155,0
33,1,2,0,0,23,2,2,4.1243,1
28,1,0,0,1,5695,1,0,4.0122,0
33,1,2,0,0,27,4,5,4.1044,1
27,1,0,0,1,5227,1,1,3.9303,0
35,1,2,0,0,19,4,5,4.2074,1
26,1,0,0,1,615,0,0,3.921,0
34,1,2,0,0,1,5,4,4.396,1
23,1,0,0,1,3806,0,1,3.6753,0
30,1,2,0,0,36,5,1,4.2314,1
27,1,0,0,1,750,0,1,3.8101,0
33,1,2,1,1,1,5,4,4.2485,1
31,1,0,0,1,7275,1,1,3.9536,0
37,1,2,0,0,6,4,2,4.1141,1
26,1,0,0,1,4244,0,0,3.5843,0
32,1,2,0,0,9,4,4,4.2653,1
24,1,0,0,1,7325,1,1,3.7721,0
35,1,2,0,0,35,5,3,4.2074,1
24,1,0,0,1,2869,1,1,3.8554,0
34,1,2,0,1,35,4,2,4.0941,1
23,1,0,0,1,2915,0,1,3.6753,0
35,1,2,0,1,20,2,1,4.1859,1
24,1,0,0,1,4987,1,1,3.7091,0
31,1,2,0,0,29,4,3,3.889,1
24,1,0,0,1,5661,0,0,3.7721,0
35,1,2,1,1,45,3,3,4.036,1
24,1,0,0,1,7975,1,1,3.8554,0
32,1,2,0,0,1,4,5,4.1792,1
24,1,0,0,1,4825,1,0,3.7202,0
34,1,2,0,1,22,4,2,3.9176,1
24,1,0,0,1,7190,0,1,3.8035,0
34,1,2,0,1,5,5,5,4.2195,1
23,1,0,0,1,2057,0,0,3.6425,0
35,1,2,1,1,24,3,4,4.1287,1
24,1,0,0,1,5840,0,0,3.6887,0
30,1,2,0,0,29,5,5,4.2151,1
27,1,0,0,1,4552,0,0,3.8101,0
34,1,2,0,0,19,5,2,4.315,1
24,1,0,0,1,5361,1,1,3.8035,0
32,1,2,0,1,26,5,2,3.9414,1
24,1,0,0,1,5170,1,0,3.6887,0
33,1,2,0,0,37,2,1,4.2256,1
24,1,0,0,1,2140,0,1,3.8035,0
34,1,2,1,1,6,3,4,4.0912,1
24,1,0,0,1,2459,1,0,3.8554,0
34,1,2,1,1,27,3,5,4.2195,1
28,1,0,0,1,741,0,1,4.155,0
32,1,2,0,0,41,2,3,4.1761,1
23,1,0,0,1,7264,1,0,3.7623,0
34,1,2,0,0,11,5,3,4.2784,1
27,1,0,0,1,2648,0,1,3.9303,0
33,1,2,1,0,1,4,3,4.173,1
27,1,0,0,1,7724,0,0,3.9303,0
28,1,2,0,0,19,3,2,3.8963,1
27,1,0,0,1,7600,1,1,3.9303,0
36,1,2,0,0,17,4,4,4.0833,1
24,1,0,0,1,7363,0,0,3.7091,0
33,1,2,0,1,33,3,5,4.1502,1
24,1,0,0,1,1100,0,0,3.8554,0
36,1,2,0,0,26,3,4,3.8083,1
24,1,0,0,1,2952,0,0,3.8035,0
29,1,2,0,0,1,4,3,4.0213,1
27,1,0,0,1,5453,0,0,3.8562,0
32,1,2,1,1,33,3,4,3.965,1
24,1,0,0,1,4059,0,1,3.7202,0
31,1,2,0,0,29,4,5,3.8858,1
24,1,0,0,1,1236,1,1,3.8035,0
36,1,2,0,0,9,4,1,4.2181,1
31,1,0,0,1,6947,1,0,3.9536,0
35,1,2,0,1,35,2,1,4.0903,1
24,1,0,0,1,3331,0,0,3.8554,0
34,1,2,0,0,11,5,4,4.0653,1
25,1,0,0,1,5378,0,0,3.8937,0
34,1,2,0,0,14,2,5,4.2195,1
27,1,0,0,1,1906,0,1,3.708,0
38,1,2,0,0,45,2,4,4.2539,1
27,1,0,0,1,6127,1,1,3.838,0
35,1,2,0,0,2,5,3,4.0931,1
27,1,0,0,1,7038,0,0,3.838,0
38,1,2,0,1,1,4,5,4.1158,1
23,1,0,0,1,4382,1,1,3.6425,0
35,1,2,0,1,18,3,3,3.7014,1
24,1,0,0,1,2269,1,0,3.7202,0
35,1,2,0,1,42,3,4,3.976,1
23,1,0,0,1,4223,0,1,3.6753,0
36,1,2,0,0,16,2,1,4.1416,1
24,1,0,0,1,4790,1,1,3.8554,0
33,1,2,0,1,28,4,2,3.859,1
27,1,0,0,1,972,1,0,3.764,0
30,1,2,1,0,40,2,1,4.3232,1
25,1,0,0,1,1228,1,1,3.8937,0
34,1,2,0,0,37,4,2,4.1385,1
24,1,0,0,1,3808,1,1,3.6887,0
34,1,2,0,0,12,5,4,3.9484,1
27,1,0,0,1,6163,0,0,3.8562,0
30,1,2,0,0,37,4,4,4.3232,1
24,1,0,0,1,2660,1,1,3.8035,0
30,1,2,0,0,41,5,3,4.0566,1
23,1,0,0,1,1955,0,1,3.6753,0
34,1,2,0,0,10,5,2,4.0941,1
27,1,0,0,1,3599,1,1,3.764,0
34,1,2,0,0,30,5,2,4.396,1
27,1,0,0,1,3157,0,1,3.708,0
29,1,2,0,0,24,4,3,4.1423,1
26,1,0,0,1,4227,1,0,3.5843,0
35,1,2,0,1,15,4,3,4.036,1
27,1,0,0,1,1862,1,1,3.9303,0
36,1,2,0,0,20,5,3,4.2391,1
27,1,0,0,1,1285,1,1,3.764,0
32,1,2,0,0,37,5,4,4.0542,1
28,1,0,0,1,2760,1,0,4.155,0
34,1,2,0,0,16,3,1,4.0323,1
27,1,0,0,1,6481,1,1,3.838,0
33,1,2,0,0,39,3,5,4.1124,1
23,1,0,0,1,2101,1,1,3.6425,0
31,1,2,0,1,41,4,1,4.0668,1
28,1,0,0,1,2081,1,1,4.0122,0
35,1,2,0,1,18,4,5,4.243,1
27,1,0,0,1,3165,1,1,3.764,0
30,1,2,0,0,42,3,4,3.9111,1
26,1,0,0,1,7745,1,1,3.921,0
33,1,2,1,0,7,3,5,4.0518,1
26,1,0,0,1,5359,1,1,3.5843,0
35,1,2,0,1,38,4,4,4.0332,1
24,1,0,0,1,2795,0,0,3.8554,0
32,1,2,0,0,30,5,1,3.9681,1
24,1,0,0,1,7354,1,1,3.8554,0
34,1,2,0,0,10,3,3,4.2561,1
28,1,0,0,1,4338,1,0,4.155,0
33,1,2,1,1,1,3,2,4.165,1
25,1,0,0,1,6330,1,1,3.8937,0
33,1,2,1,1,4,3,2,4.1124,1
27,1,0,0,1,3393,0,1,3.8562,0
37,1,2,1,0,13,5,2,4.0441,1
26,1,0,0,1,6786,1,0,3.921,0
37,1,2,0,0,34,2,4,4.1681,1
24,1,0,0,1,1533,1,0,3.8554,0
29,1,2,0,1,25,4,3,3.7883,1
27,1,0,0,1,615,0,0,3.9303,0
33,1,2,0,0,2,5,2,3.9543,1
23,1,0,0,1,6991,0,0,3.6753,0
36,1,2,1,1,10,2,1,4.1734,1
27,1,0,0,1,1947,0,1,3.764,0
34,1,2,0,1,7,4,2,4.1973,1
23,1,0,0,1,5053,1,0,3.6425,0
35,1,2,1,1,8,2,2,3.8757,1
23,1,0,0,1,3068,0,0,3.6753,0
32,1,2,1,0,44,5,1,4.4139,1
27,1,0,0,1,3288,1,0,3.8101,0
35,1,2,0,0,34,2,2,4.1719,1
23,1,0,0,1,5866,0,0,3.7623,0
31,1,2,0,0,20,4,4,4.236,1
24,1,0,0,1,7304,0,0,3.6887,0
34,1,2,0,0,12,4,5,4.0323,1
23,1,0,0,1,7337,0,0,3.6753,0
32,1,2,0,0,30,4,5,4.1556,1
26,1,0,0,1,2679,0,1,4.1039,0
35,1,2,0,0,38,3,3,4.0256,1
27,1,0,0,1,2656,0,1,3.8101,0
38,1,2,0,1,44,4,1,4.1235,1
24,1,0,0,1,4707,1,0,3.6887,0
31,1,2,0,1,9,5,3,3.9134,1
23,1,0,0,1,7785,1,0,3.6425,0
30,1,2,0,0,17,3,5,4.3232,1
24,1,0,0,1,2553,1,0,3.7202,0
35,1,2,0,0,38,4,4,4.3217,1
24,1,0,0,1,7974,0,1,3.7721,0
32,1,2,1,0,6,2,4,4.0931,1
27,1,0,0,1,5356,1,1,3.8101,0
33,1,2,1,1,17,2,5,3.9802,1
24,1,0,0,1,7740,1,1,3.8035,0
32,1,2,0,0,34,5,3,4.2264,1
23,1,0,0,1,5822,1,1,3.6425,0
35,1,2,1,0,15,2,4,4.1503,1
30,1,0,0,1,3153,0,1,3.6981,0
32,1,2,1,0,29,5,5,3.965,1
24,1,0,0,1,6255,1,1,3.7091,0
34,1,2,0,1,5,5,1,4.0912,1
27,1,0,0,1,1917,0,0,3.838,0
37,1,2,1,0,17,2,3,4.1522,1
28,1,0,0,1,653,0,1,4.155,0
33,1,2,0,0,13,3,2,4.1273,1
27,1,0,0,1,3368,0,0,3.8101,0
32,1,2,0,0,34,4,5,4.2417,1
29,1,0,0,1,2324,1,1,4.0473,0
33,1,2,0,1,18,4,4,3.9802,1
24,1,0,0,1,5275,1,0,3.7202,0
33,1,2,0,1,32,4,4,3.9683,1
25,1,0,0,1,7500,0,0,3.8937,0
36,1,2,0,0,3,2,4,4.0833,1
27,1,0,0,1,2298,0,1,3.8101,0
35,1,2,0,1,39,4,2,3.99,1
29,1,0,0,1,3913,1,0,4.0473,0
31,1,2,1,0,13,5,3,3.926,1
23,1,0,0,1,2489,0,0,3.6425,0
36,1,2,0,1,15,3,2,4.1835,1
26,1,0,0,1,4172,0,1,4.1039,0
33,1,2,1,0,30,4,1,4.0815,1
26,1,0,0,1,4390,1,0,3.921,0
32,1,2,0,0,34,2,1,4.2417,1
27,1,0,0,1,1413,0,1,3.8101,0
35,1,2,1,0,36,5,5,4.2074,1
23,1,0,0,1,6410,1,0,3.6753,0
34,1,2,0,1,26,2,1,4.1356,1
23,1,0,0,1,4197,0,1,3.7623,0
37,1,2,1,0,5,5,4,3.99,1
28,1,0,0,1,5284,1,1,4.155,0
32,1,2,0,0,35,4,3,4.0153,1
26,1,0,0,1,5195,0,1,3.921,0
36,1,2,0,0,38,4,3,4.0997,1
24,1,0,0,1,6142,0,0,3.7721,0
33,1,2,0,1,3,5,2,4.1273,1
26,1,0,0,1,5149,0,0,3.5843,0
33,1,2,1,1,37,3,5,3.9683,1
23,1,0,0,1,5623,0,1,3.7623,0
29,1,2,1,0,23,5,4,4.1423,1
28,1,0,0,1,4734,0,0,4.155,0
36,1,2,1,0,26,3,4,3.9931,1
26,1,0,0,1,4782,0,1,4.1039,0
31,1,2,0,0,8,4,1,4.0668,1
23,1,0,0,1,3196,1,0,3.6212,0
33,1,2,1,1,20,4,2,3.859,1
24,1,0,0,1,5364,1,0,3.7091,0
35,1,2,0,1,18,5,2,4.0472,1
25,1,0,0,1,7461,0,0,3.8937,0
38,1,2,1,1,10,3,3,4.2737,1
26,1,0,0,1,5966,0,0,4.1039,0
36,1,2,0,0,14,5,1,4.1598,1
24,1,0,0,1,6032,1,1,3.8035,0
33,1,2,1,0,7,2,2,4.0667,1
24,1,0,0,1,2230,1,0,3.8035,0
30,1,2,0,0,32,2,2,4.1484,1
27,1,0,0,1,7737,0,1,3.764,0
31,1,2,0,1,20,3,3,4.0668,1
24,1,0,0,1,4477,0,0,3.8554,0
29,1,2,0,0,36,4,5,4.1423,1
30,1,0,0,1,4367,0,1,3.6981,0
32,1,2,0,0,25,5,1,4.1761,1
24,1,0,0,1,5658,1,0,3.8035,0
34,1,2,0,1,3,5,3,4.315,1
27,1,0,0,1,2243,0,1,3.8101,0
35,1,2,1,0,6,2,5,4.3189,1
27,1,0,0,1,7110,1,0,3.838,0
35,1,2,0,0,40,3,4,4.1043,1
24,1,0,0,1,3518,0,1,3.6887,0
35,1,2,0,0,7,2,5,3.8786,1
27,1,0,0,1,3395,1,1,3.764,0
31,1,2,1,0,26,2,1,4.0023,1
24,1,0,0,1,6221,0,1,3.7721,0
32,1,2,1,0,21,5,2,4.0511,1
24,1,0,0,1,2058,1,0,3.8554,0
30,1,2,0,1,34,4,1,4.2566,1
24,1,0,0,1,3112,0,0,3.7202,0
34,1,2,0,1,37,3,4,3.9735,1
25,1,0,0,1,3061,1,1,3.8937,0
33,1,2,0,0,29,5,3,4.3091,1
27,1,0,0,1,3162,1,0,3.8101,0
36,1,2,0,0,17,2,4,4.1626,1
28,1,0,0,1,6176,1,0,4.155,0
35,1,2,0,0,15,5,4,4.0144,1
23,1,0,0,1,1154,0,1,3.6212,0
33,1,2,1,0,40,3,4,4.1273,1
27,1,0,0,1,2349,1,1,3.764,0
35,1,2,0,0,32,3,2,3.9329,1
27,1,0,0,1,1201,0,0,3.708,0
31,1,2,0,0,2,5,4,4.0668,1
31,1,0,0,1,1986,1,0,3.9536,0
35,1,2,1,0,13,4,3,3.99,1
28,1,0,0,1,3701,0,0,4.0122,0
34,1,2,0,0,9,5,3,4.2784,1
28,1,0,0,1,7045,1,1,4.155,0
35,1,2,0,1,24,2,3,4.0116,1
31,1,0,0,1,631,1,0,3.9536,0
28,1,2,0,0,9,4,2,3.8249,1
24,1,0,0,1,4391,0,0,3.8554,0
33,1,2,0,1,6,4,5,4.5973,1
28,1,0,0,1,4478,1,1,4.155,0
38,1,2,0,1,39,5,3,4.2185,1
24,1,0,0,1,1422,0,0,3.7091,0
32,1,2,1,0,6,4,3,4.2653,1
27,1,0,0,1,5672,1,1,3.8101,0
33,1,2,0,0,16,2,2,3.9802,1
23,1,0,0,1,7849,1,0,3.7623,0
36,1,2,1,0,41,5,5,4.0277,1
24,1,0,0,1,5891,0,0,3.7091,0
37,1,2,1,0,22,3,1,4.2293,1
27,1,0,0,1,7042,1,0,3.9303,0
36,1,2,0,0,21,3,3,4.1835,1
23,1,0,0,1,2554,0,1,3.6753,0
34,1,2,0,0,18,2,1,4.1751,1
28,1,0,0,1,4718,1,0,4.0122,0
31,1,2,0,0,19,3,4,4.0392,1
23,1,0,0,1,7490,1,1,3.7623,0
34,1,2,0,1,28,2,2,4.1163,1
24,1,0,0,1,1742,1,0,3.8035,0
35,1,2,0,0,36,3,2,4.1287,1
28,1,0,0,1,6577,0,0,4.155,0
30,1,2,0,1,45,4,3,3.8729,1
27,1,0,0,1,6293,0,1,3.708,0
35,1,2,0,1,40,3,1,4.3217,1
23,1,0,0,1,1798,0,1,3.6753,0
38,1,2,0,1,10,5,2,4.2185,1
30,1,0,0,1,3711,0,0,3.6981,0
37,1,2,0,0,27,5,4,4.4251,1
30,1,0,0,1,5483,0,0,3.6981,0
32,1,2,0,0,35,2,1,4.0778,1
24,1,0,0,1,601,0,0,3.7202,0
35,1,2,0,0,43,2,2,4.1859,1
26,1,0,0,1,4410,1,1,3.5843,0
33,1,2,0,0,35,5,4,4.0667,1
29,1,0,0,1,6693,1,1,4.0473,0
32,1,2,1,0,31,4,3,4.4764,1
24,1,0,0,1,7361,1,0,3.8554,0
34,1,2,0,1,25,4,5,4.0575,1
27,1,0,0,1,3472,0,0,3.708,0
33,1,2,1,0,12,3,1,4.4532,1
27,1,0,0,1,4900,1,0,3.9303,0
31,1,2,1,0,1,3,2,4.1557,1
31,1,0,0,1,3488,1,0,3.9536,0
